,Question Name, No.of Views, No.of answers, No.of Votes, Question id, Tags, Date 
4910,Keep only essential packages,13000.0,2,15,79665, package-management,11/16/2011
4911,How do I disable the alt-right click keyboard binding?,20000.0,6,15,70392, unity compiz keyboard,10/21/2011
4912,Is there a tool for web based system administration?,37000.0,5,15,6529, server software-recommendation,10/12/2010
4913,DVD with both 32-bit and 64-bit Ubuntu,10000.0,5,14,28299, 64-bit installation 32-bit,2/27/2011
4914,How to connect to Wired internet connection through terminal?,150000.0,3,13,13993, command-line internet lan wired,11/19/2010
4915,How do I change the way Ubuntu adjusts my volume mixer levels?,11000.0,1answer,13,15069, sound pulseaudio alsa,11/27/2010
4916,Ubuntu full disk encryption with encrypted /boot,24000.0,1answer,13,729673, encryption grub2,2/3/2016
4917,How to configure pkexec to not ask for password?,4000.0,1answer,12,383747, password sudo privileges pkexec,11/29/2013
4918,How to make text file created in Ubuntu compatible with Windows Notepad?,19000.0,2,12,376404, text-editor,11/13/2013
4919,How to tell Ubuntu where to install a program and how to tell where an existing program was installed?,14000.0,3,10,150611, installation server apt,6/14/2012
4920,How to set intel_idle.max_cstate=1,32000.0,3,8,749349, intel idle,3/23/2016
4921,How to hide recent files and most used apps?,14000.0,4,55,28977, unity zeitgeist privacy,3/4/2011
4922,How to fix missing characters from font after awakening from suspend?,7000.0,4,46,795278, gnome graphics suspend fonts gui,7/5/2016
4923,Use chown to set the ownership of all a folder's subfolders and files?,158000.0,3,34,693418, permissions directory chmod,11/3/2015
4924,How do I install Ubuntu TV on my computer?,37000.0,3,31,94089, system-installation ubuntu-tv,1/9/2012
4925,What are the differences between the Ubuntu shipped kernel and the upstream kernel?,5000.0,3,31,37147, kernel upstream,4/26/2011
4926,Change multiple filenames by replacing a character,66000.0,8,28,406313, command-line,1/16/2014
4927,Where can Ubuntu snaps write data?,13000.0,1answer,28,762354, snap ubuntu-core,4/25/2016
4928,Installing MS Office 2013 on Ubuntu 12.04 LTS [duplicate],154000.0,5,27,350167, 12.04 wine microsoft-office,9/26/2013
4929,Run a program with GNU screen and immediately detach after,86000.0,2,25,62562, scripts gnu-screen,9/22/2011
4930,I am logged out immediately after logging in,53000.0,7,24,367260, 13.04 login logout,10/28/2013
4931,How can I reconnect to a ssh session after a broken pipe?,29000.0,3,23,191573, ssh openssh,9/22/2012
4932,How can I see a folder and a subfolder in the same window?,5000.0,5,23,442941, nautilus pantheon,4/3/2014
4933,How can I prevent users accessing anything but their own home directory?,54000.0,3,20,267019, permissions users,3/12/2013
4934,How to apply Mac like 'labels' on nautilus?,9000.0,4,19,51777, nautilus,7/4/2011
4935,How to hide files with a specific extension,3000.0,4,19,11746, nautilus hidden-files,11/6/2010
4936,Referencing environment variables *in* /etc/environment?,11000.0,2,18,78856, configuration environment-variables,11/13/2011
4937,Annoying Viber notification,11000.0,6,18,399774, notification viber,1/4/2014
4938,How to auto-login in Xubuntu?,66000.0,3,17,530072, xubuntu auto-login,9/29/2014
4939,How to auto mount my external hard drive?,63000.0,9,17,10947, 10.10 usb mount usb-drive automount,11/2/2010
4940,Adjusting resolution for individual Wine programs [duplicate],45000.0,3,16,16733, wine resolution,12/9/2010
4941,How can I get the Skype notification back in the system tray?,36000.0,5,16,43280, indicator skype notification-area,5/16/2011
4942,How to access gvfs mounts from command line?,10000.0,2,15,232497, command-line 12.10 gvfs,12/25/2012
4943,How do I enable the Other user for login with Active Directory?,55000.0,4,15,121124, lightdm active-directory,4/11/2012
4944,After Upgrade from 14.04 to 16.04 login screen runs in a loop while console login works,84000.0,8,15,759995, 14.04 upgrade login login-screen 16.04,4/21/2016
4945,How can I see a list of all open windows in a panel in Unity?,18000.0,9,15,38505, unity,4/30/2011
4946,Will it be possible to use a non-pae kernel in recent versions of Ubuntu?,22000.0,3,15,182048, kernel,8/30/2012
4947,Connecting to Cisco VPN from Ubuntu 18.04 without a Group Password,23000.0,1answer,15,1033315, networking vpn cisco,5/7/2018
4948,How to make mount --bind permanent?,41000.0,3,15,550348, 14.04 mount fstab,11/16/2014
4949,How do I turn off all the password prompts?,62000.0,4,14,136264, password,5/13/2012
4950,How to Fix Read-only file system error when I run something as sudo and try to make a folder/file?,213000.0,3,14,287021, filesystem files system format read-only,4/28/2013
4951,How to uninstall all but the default Ubuntu packages?,22000.0,2,14,39658, package-management,5/3/2011
4952,How can I get delta packages to optimize apt-get upgrade downloads?,4000.0,1answer,14,435351, apt upgrade deb,3/17/2014
4953,Ubuntu 14.04 multi touch screen support,78000.0,4,14,452159, 14.04 multi-touch touchscreen,4/21/2014
4954,Launch app only if not already open,3000.0,3,14,440142, launcher shortcuts,3/28/2014
4955,How to run script after resume and after unlocking screen,7000.0,4,13,204073, 12.04 suspend lock-screen autostart unlock,10/21/2012
4956,Dark GTK theme for Ubuntu 14.04,65000.0,2,13,454372, themes 14.04 gtk,4/24/2014
4957,Problems with ttf font rendering under LibreOffice,7000.0,3,13,181135, fonts microsoft libreoffice,8/27/2012
4958,How can I get a list of all packages in a repository section from command line?,1000.0,4,13,469612, command-line package-management synaptic,5/20/2014
4959,Network Issues since Trusty,10000.0,4,13,454427, wireless,4/24/2014
4960,How do I remove top panel on dual screen on secondary monitor?,4000.0,3,11,37691, unity multiple-monitors,4/28/2011
4961,Adaptive acceleration for touchpad on Ubuntu 17.10,6000.0,3,11,968516, gnome touchpad synaptics 17.10 libinput,10/24/2017
4962,Change the brightness adjustment interval,7000.0,3,11,150166, display brightness,6/13/2012
4963,Unity completely broken after upgrade to 12.10?,46000.0,7,11,204778, unity 12.10,10/22/2012
4964,How to install Synaptics on touchpad on Ubuntu 14.04,99000.0,4,10,453876, touchpad 14.04 synaptics,4/23/2014
4965,Logitech M515 does not work after upgrade to 12.04,11000.0,6,10,128345, 12.04 mouse input-devices logitech logitech-unifying,4/30/2012
4966,How to install XAMPP?,38000.0,2,10,73541, 11.10 64-bit 32-bit lamp,10/29/2011
4967,Install package along with all the dependencies offline [duplicate],49000.0,4,10,306971, package-management software-installation,6/11/2013
4968,Hyperlinks clicked in evince document viewer are not opening any ideas on how to fix?,6000.0,5,9,317928, google-chrome pdf evince,7/8/2013
4969,How to set Performance instead of Powersave as default?,21000.0,2,9,929884, 17.04 cpufreq,6/28/2017
4970,Can't install Ubuntu 18.10 on XPS 15 - EFI\BOOT\mmx64.efi not found,10000.0,4,9,1085550, boot dual-boot uefi dell 18.10,10/20/2018
4971,Change the brightness adjustment interval,7000.0,3,11,150166, display brightness,6/13/2012
4972,Unity completely broken after upgrade to 12.10?,46000.0,7,11,204778, unity 12.10,10/22/2012
4973,How to install Synaptics on touchpad on Ubuntu 14.04,99000.0,4,10,453876, touchpad 14.04 synaptics,4/23/2014
4974,Logitech M515 does not work after upgrade to 12.04,11000.0,6,10,128345, 12.04 mouse input-devices logitech logitech-unifying,4/30/2012
4975,Install package along with all the dependencies offline [duplicate],49000.0,4,10,306971, package-management software-installation,6/11/2013
4976,How to install XAMPP?,38000.0,2,10,73541, 11.10 64-bit 32-bit lamp,10/29/2011
4977,How do I change the colors of the Ambiance & Radiance themes?,22000.0,4,9,85786, gnome unity-2d colors,12/7/2011
4978,Ubuntu 14.04 LTS fails to start with a kernel panic,42000.0,1answer,9,471012, boot kernel,5/23/2014
4979,Can't get Intel HD Graphics 530 (Skylake i7 6700) to work,71000.0,9,9,698168, drivers graphics,11/15/2015
4980,Hyperlinks clicked in evince document viewer are not opening any ideas on how to fix?,6000.0,5,9,317928, google-chrome pdf evince,7/8/2013
4981,How to set Performance instead of Powersave as default?,21000.0,2,9,929884, 17.04 cpufreq,6/28/2017
4982,Can't install Ubuntu 18.10 on XPS 15 - EFI\BOOT\mmx64.efi not found,10000.0,4,9,1085550, boot dual-boot uefi dell 18.10,10/20/2018
4983,Installing Cisco Packet Tracer 7 on Ubuntu 16.10,91000.0,3,8,864226, networking software-installation 16.10 cisco,12/24/2016
4984,How to use notify-send with crontab? [duplicate],3000.0,2,8,834476, cron,10/8/2016
4985,How do I set IDLE as the default editor for Python scripts?,19000.0,2,8,78541, 11.10 python default-programs idle-python,11/12/2011
4986,`indicator-cpufreq` doesn't seem to work on 14.10,7000.0,1answer,8,541143, laptop performance cpufreq 14.10 scaling,10/24/2014
4987,How can I write a dynamically updated panel app / indicator?,3000.0,1answer,7,751608, python panel programming c++ mate,3/29/2016
4988,(13.04) lightdm crashing - black screen flashing cursor,28000.0,4,6,346738, 13.04 xorg lightdm,9/17/2013
4989,dpkg: error: parsing file '/var/lib/dpkg/updates/0045' near line 0:,49000.0,4,40,213460, dpkg,11/6/2012
4990,What is the performance overhead of encrypted /home?,27000.0,4,33,23489, performance encryption,1/27/2011
4991,What is the difference between `man` and `man (#)`?,2000.0,2,31,365548, manpage,10/25/2013
4992,Why is it called sudo?,9000.0,8,30,472175, sudo history-of-ubuntu,5/26/2014
4993,How to install KDE along Unity?,97000.0,2,26,452083, kde,4/21/2014
4994,java plugin in Chromium,46000.0,1answer,24,450683, java chromium plugins icedtea,4/19/2014
4995,sudo apt-get update failing - could not open list file due to permission denied,10000.0,1answer,24,917603, apt package-management permissions updates update-manager,5/22/2017
4996,How do I fix Netflix requiring Silverlight update?,53000.0,3,22,278368, wine netflix,4/6/2013
4997,How to find history of shell commands since machine was created?,75000.0,4,22,160745, command-line bash history,7/7/2012
4998,Reinstall package and its installed dependencies,35000.0,1answer,22,275719, apt dpkg,3/29/2013
4999,How to convert a sound file to Opus,26000.0,5,21,211054, conversion ogg-opus,11/2/2012
5000,How to disable cryptswap?,34000.0,3,19,34519, filesystem security encryption swap,4/11/2011
5001,DNS set to systemd's 127.0.0.53 - how to change permanently?,38000.0,6,19,1012641, dns systemd-resolved,3/7/2018
5002,How to fix the UUID in Grub after restore from another machine?,144000.0,4,18,171446, grub2 boot-failure,8/3/2012
5003,How do I find out which program is using internet and how much? [duplicate],11000.0,2,18,152093, networking software-recommendation internet process,6/17/2012
5004,On Ubuntu 18.04 can I hide the Firefox title bar AND still see the close/minimize/maximize icons?,9000.0,3,17,1039360, firefox icons gnome-shell csd,5/23/2018
5005,Focus existing terminal with `Ctrl-Alt-T` shortcut,3000.0,5,16,200929, command-line gnome-terminal window,10/14/2012
5006,What happens if I delete the default folders in my home folder?,7000.0,3,15,5203, home-directory default directory,10/5/2010
5007,How do I set a system wide proxy with a username and password?,97000.0,3,15,82880, proxy,11/26/2011
5008,How to run WhatsApp on Ubuntu? [duplicate],46000.0,2,15,279816, android emulation,4/10/2013
5009,Proper alignment of partitions on an Advanced Format HDD using Parted,51000.0,1answer,14,201164, partitioning gpt,10/15/2012
5010,Function Keys Do Not work (Brightness & Sound) Ubuntu 16.04,26000.0,1answer,14,866437, brightness function-keys,12/31/2016
5011,How to fix E: Internal Error No file name for libc6 [duplicate],52000.0,4,14,266450, dpkg glibc,3/11/2013
5012,The volume filesystem root has only 0 bytes disk space remaining?,40000.0,2,14,73867, 11.10 filesystem hard-drive,10/30/2011
5013,How do I merge two icon sets?,5000.0,2,14,28592, themes icons,3/1/2011
5014,Is it possible to color the prompt in Bash?,7000.0,3,14,13892, bash customization,11/18/2010
5015,How do you make USB bootable on chromebook,143000.0,3,13,278403, chromebook,4/6/2013
5016,Run apt-get without sudo,30000.0,2,13,74054, permissions sudo root multiple-users,10/31/2011
5017,ubuntu 14.10 multiple Simultaneous independent remote (desktop like ) connections,42000.0,3,13,581979, remote-desktop vnc gnome-session freenx terminal-server,2/5/2015
5018,What is the easiest way to merge / and /home?,12000.0,2,13,117014, partitioning filesystem home-directory,3/29/2012
5019,Ubuntu not booting: Could not write bytes: broken pipes,28000.0,1answer,13,105857, boot apt updates,2/20/2012
5020,Is it possible to install MySQL 5.5 or 5.6 on Ubuntu 16.04?,44000.0,4,12,763240, package-management mysql 16.04,4/26/2016
5021,How can my audio input always be the webcam microphone?,18000.0,4,12,31206, sound webcam skype,3/20/2011
5022,Disable Touchpad while typing option gone in Ubuntu 16.04 LTS,14000.0,6,12,762189, touchpad 16.04,4/25/2016
5023,Disabling Intel Turbo Boost in ubuntu,23000.0,3,15,619875, cpu,5/6/2015
5024,How to browse by album art in rhythmbox?,10000.0,3,15,112148, rhythmbox plugins,3/11/2012
5026,How do I change the login manager's keyboard layout?,22000.0,5,14,328952, 13.04 lightdm keyboard-layout,8/5/2013
5027,Nautilus: Visited directory via symlink now I can't go one level up in the target directory hierarchy,2000.0,3,14,720491, nautilus symbolic-link,1/13/2016
5028,Google authenticator for the desktop,14000.0,4,14,182498, authentication,8/31/2012
5029,How do I get Ubuntu to recognize my nvidia graphics card?,41000.0,5,14,162639, nvidia nvidia-optimus samsung,7/12/2012
5030,Google Chrome update won't install due to unmet dependencies,18000.0,4,14,359530, 13.04 google-chrome dependencies,10/15/2013
5031,Grub menu at boot time holding shift not working,33000.0,3,14,668049, boot grub2 lubuntu,9/1/2015
5032,Function keys in Apple Keyboard don't work as expected,8000.0,3,14,33514, keyboard apple,4/4/2011
5033,How do I remove the FGLRX drivers after I've installed them by hand?,115000.0,3,14,78675, drivers amd-graphics fglrx,11/13/2011
5034,Minecraft in jdk 1.7.0_u2 x64,31000.0,9,14,100751, 64-bit java minecraft,2/2/2012
5035,Node Package Manager got corrupted in some way now it cannot be installed,23000.0,1answer,13,626383, apt nodejs npm,5/21/2015
5036,How can I make a list with most used commands in terminal?,4000.0,3,13,312428, command-line bash history,6/25/2013
5037,How can I enable wake-on-lan permanently?,19000.0,3,13,47918, networking wakeonlan,6/9/2011
5038,Can't open Gedit as root,56000.0,6,13,414785, sudo gedit,2/3/2014
5039,Internet slow on Ubuntu but not windows using a RTL8111,16000.0,5,13,94770, networking,1/12/2012
5040,How to search for files by tags?,7000.0,3,13,40543, nautilus files tagging tracker,5/5/2011
5041,Kindle for PC via Wine,8000.0,13,12,14686, wine ebooks kindle,11/24/2010
5042,Keyboard not working 100% after Ubuntu 13.10 upgrade,29000.0,1answer,12,360696, keyboard hardware,10/18/2013
5043,Huawei E3272 Ubuntu,18000.0,5,12,525965, usb-modem huawei,9/19/2014
5044,How to re-mount a different partition as /home?,59000.0,4,12,20287, mount home-directory,1/6/2011
5045,How to permanently enable compressed ram swap? What version to use?,19000.0,4,11,56673, 11.04 12.04 swap ram zram,8/11/2011
5046,Steam: error while loading shared libraries: libGL.so.1: wrong ELF class: ELFCLASS64,58000.0,8,10,216367, nvidia 12.10 64-bit shared-library steam,11/12/2012
5047,Ubuntu 16.04 LTS unrecognized hard drive  not enough disk space to install,10000.0,1answer,10,764353, system-installation hard-drive 16.04,4/28/2016
5048,How to rename an Ethernet interface?,59000.0,3,10,217635, networking interface ifconfig,11/15/2012
5049,Ubuntu 14.04 LTS crashes after login [closed],91000.0,5,10,449479, login,4/18/2014
5050,How to open magnet links from firefox with deluge,37000.0,7,10,53102, firefox bittorrent deluge,7/14/2011
5051,Is installing wine in Ubuntu safe? [duplicate],14000.0,4,10,175336, wine security,8/13/2012
5052,kernel panic not syncing vfs unable to mount root fs on unknown block oo swapper not tainted [duplicate],41000.0,2,9,116635, kernel,3/28/2012
5053,How to see what's going on during shutdown,14000.0,2,9,6122, shutdown system,10/11/2010
5054,Change boot entry names and grub background?,39000.0,8,9,115432, grub2,3/23/2012
5055,Broken ghostscript configuration,3000.0,1answer,8,924915, 16.04 ghostscript,6/13/2017
5056,Execute command from file in current shell [duplicate],12000.0,2,8,515432, command-line scripts execute-command,8/24/2014
5057,How to change the Ubuntu source code [duplicate],9000.0,3,8,106818, source,2/23/2012
5058,Brightness Controls Not Working on a Dell Inspiron N4010 Laptop,14000.0,5,8,289171, 13.04 brightness,5/1/2013
5059,How do I run a script on Unity login/logout?,10000.0,3,8,517633, unity scripts upstart,8/29/2014
5060,Touchpad not recognized on Asus N550JK - TP500L (FocalTech),11000.0,1answer,7,609892, touchpad asus 15.04 touchscreen focaltech,4/16/2015
5061,Ubuntu Nexus 7 as USB device does not work,14000.0,6,7,216246, automount ubuntu-touch nexus-7 mtp fuse,11/12/2012
5062,How do I deal with 'sudoers.so must be only be writable by owner'?,26000.0,2,7,234603, 12.10 sudo,12/31/2012
5063,Is there any simple way to access installed programs?,38000.0,8,7,148100, unity-dash,6/8/2012
5064,Using Nvidia 319 with bumblebee,15000.0,2,7,289659, drivers nvidia 13.04 nvidia-optimus bumblebee,5/2/2013
5065,How can I enable the drivers for beats audio speakers for hp envy dv6?,36000.0,4,7,396302, drivers sound hp,12/27/2013
5066,Graphics drivers for Intel NUC Hades Canyon NUC8i7HVK (AMD Radeon RX Vega GH),11000.0,3,7,1040440, drivers 18.04 radeon intel-nuc,5/25/2018
5067,(update to 14.04) unity is not loading after I login to the admin profile after upgrade [duplicate],38000.0,3,6,453482, unity upgrade xorg 14.04,4/23/2014
5068,Format USB drive to NTFS so it is usable under Windows,26000.0,3,6,934560, partitioning usb windows ntfs disk-management,7/9/2017
5069,How do I install turbo c++?,53000.0,5,6,198477, package-management,10/10/2012
5070,How can I fix choppy audio?,8000.0,3,6,707171, sound 15.10 pulseaudio lxde,12/8/2015
5071,Broken python (2.7) after manually building and installing python 2.6,14000.0,4,6,270011, 12.04 python compiling,3/19/2013
5072,Install Ubuntu from iso file using grub2,8000.0,1answer,5,157055, installation boot grub2,6/28/2012
5073,How to make my pci wifi card rtl8822 working on ubuntu,8000.0,3,4,926364, networking drivers,6/17/2017
5074,Adjust PCM volume?,16000.0,4,2,32383, pulseaudio alsa volume-control,3/28/2011
5075,warning: setlocale: LC_ALL: cannot change locale,72000.0,4,32,114759, locale language-support internationalization,3/21/2012
5076,What is the proposed repository?,10000.0,3,30,49691, repository software-sources official-repositories proposed-updates,6/20/2011
5077,chkrootkit shows tcpd as INFECTED. Is it a false positive?,13000.0,4,25,883495, security malware rootkit tcpdump chkrootkit,2/15/2017
5078,How do I insert a line at the top of a text file using the command line?,64000.0,6,25,151674, apt command-line bash,6/16/2012
5079,Is using Software Updater the same thing as running apt-get update and apt-get upgrade?,8000.0,3,25,362872, apt update-manager,10/21/2013
5080,How to disable mouse power status in indicator-power?,10000.0,7,24,361022, mouse indicator,10/18/2013
5081,Custom keyboard shortcuts in gedit,15000.0,5,23,223986, shortcut-keys gedit,11/30/2012
5082,How to activate hibernation in 16.04.1 ? (systemd),20000.0,2,23,868208, 16.04 hibernate systemd systemd-logind,1/5/2017
5083,ssh no longer allows public key authentication,34000.0,9,22,69433, ssh authentication,10/19/2011
5084,Why is apt-get always using proxy although no proxy is configured?,31000.0,6,21,344802, apt proxy,9/12/2013
5085,How do I set the computer to suspend when battery is critically low?,7000.0,7,21,75886, power-management suspend,11/5/2011
5086,How can I reduce the number of TTYs?,26000.0,3,20,27967, 10.10 boot command-line tty,2/24/2011
5087,How to add kernel module parameters?,43000.0,3,19,51226, 11.04 kernel-modules modules,6/30/2011
5088,Steam won't open in Ubuntu 15.10,38000.0,2,19,689598, games steam,10/25/2015
5090,UNetbootin is stuck in an Automatic boot in 10 seconds countdown loop,70000.0,3,18,493440, live-usb unetbootin,7/9/2014
5091,Adding PPA's results in Couldn't resolve host 'launchpad.net',38000.0,9,17,131982, add-apt-repository,5/5/2012
5092,How to setup a static IP on Ubuntu Server 18.04,39000.0,7,17,1029531, networking server ip 18.04,4/29/2018
5093,fdisk -l shows 16 ram disks /dev/ram0  /ram15,24000.0,5,17,703576, ram,11/28/2015
5094,What is the lightest desktop interface for ubuntu and is Unity-2d classified as a 'light' interface?,7000.0,6,16,37174, unity-2d window-manager,4/26/2011
5095,How do I restore the Unity 7 Ctrl-Alt-Numpad combination behaviour on Gnome 3?,2000.0,3,15,947188, gnome 17.10,8/17/2017
5096,Minecraft with OpenJDK 7 I get the trustAnchors parameter must be non-empty,29000.0,4,15,627426, java 15.04 minecraft openjdk ssl,5/23/2015
5097,The noip2 (no-ip.com) package was deleted from the repository now what?,36000.0,6,15,184704, repository,9/6/2012
5098,Login loop after upgrade to 16.04,27000.0,5,15,760492, login compiz lightdm,4/22/2016
5099,How do I grep for multiple patterns on multiple lines?,46000.0,2,14,551338, command-line grep text-processing,11/19/2014
5100,Both DHCP and static IP addresses simultaneously on one interface,31000.0,3,14,452317, network-manager dhcp static-ip,4/21/2014
5101,What cd/dvd burning software should I use? [closed],36000.0,5,14,162129, software-recommendation dvd cd burning,7/10/2012
5102,Two accounts on same computer - how can I make a share folder for both?,2000.0,3,14,14791, directory users shared-folders,11/24/2010
5103,How do I install BURG?,11000.0,3,14,61725, grub2 bootloader burg,9/16/2011
5104,Why does Ubuntu refuse to execute files from an NTFS partition?,23000.0,3,14,30243, filesystem permissions ntfs fstab executable,3/13/2011
5105,How can I help someone (like granny) over SSH who is behind a NAT router?,3000.0,4,13,48111, ssh ssh-import-id,6/10/2011
5106,How to secure grub recovery mode,4000.0,3,13,31605, security grub2,3/23/2011
5107,I deleted package 'python3' on Ubuntu and I have lost dashboard terminal and Unity. Help me to restore my data please [duplicate],19000.0,3,13,810854, unity python3,8/11/2016
5108,How do I enable the Scale Window Title Filter in Compiz on 12.04?,3000.0,5,13,143589, unity compiz,5/29/2012
5109,Getting error message when trying to start a virtual machine,151000.0,12,13,122211, virtualbox,4/15/2012
5110,How to fix error with ATI driver Error of failed request?,54000.0,9,12,81344, 11.10 ati fglrx,11/21/2011
5111,How does the fglrx package's version relate to AMD's version numbers like Catalyst 12.3?,4000.0,1answer,12,121185, drivers package-management fglrx ati,4/11/2012
5112,Is there an alternative to DVD-Shrink that can compress a DVD image to a smaller size to fit on a writeable DVD?,20000.0,11,12,129891, software-recommendation dvd,5/2/2012
5113,How to install the full GNOME desktop as close to upstream as possible?,28000.0,5,12,119357, gnome gdm,4/6/2012
5114,Video converter: ogv to avi (or another more common format),25000.0,9,12,17309, video conversion recordmydesktop,12/14/2010
5115,You do not appear to be using the nvidia x server(screenshot included),38000.0,2,12,61792, xorg nvidia nvidia-optimus,9/17/2011
5116,How to pause VLC playback when the headphones are disconnected?,1000.0,2,12,521371, vlc headphones video-player playback,9/8/2014
5117,How I turn off backlight around switcher icons,2000.0,2,12,123670, unity 14.04 application-switcher,4/20/2012
5118,GUI program to resize pdf documents and change their DPI,9000.0,2,12,280312, pdf resize scanning,4/11/2013
5119,Brightness problem Ubuntu 18.04 LTS,21000.0,6,11,1034305, brightness 18.04,5/10/2018
5120,How do I customise my Plymouth theme? [duplicate],6000.0,1answer,11,82434, plymouth,11/24/2011
5121,Apache2 start error when using php5 module ( Ubuntu Server),79000.0,3,10,536128, apache2 php,10/12/2014
5122,How can i move an encrypted home directory to another partition?,11000.0,4,10,17332, partitioning encryption,12/14/2010
5123,Ubuntu 16.04 software center not working,61000.0,3,10,783938, software-installation 16.04 software-center,6/7/2016
5125,How to autorun files and scripts in Ubuntu when inserting a USB stick like autorun.inf in Windows?,28000.0,1answer,10,642511, autorun,6/30/2015
5126,Optimize Ubuntu install on USB-drive for longer life,8000.0,2,10,59556, usb-drive,9/1/2011
5127,How to restore default Unity [duplicate],74000.0,3,9,789481, unity 16.04 compiz,6/20/2016
5128,Editing gsettings; add icon to launcher by command [duplicate],4000.0,2,9,153597, gsettings unity,6/20/2012
5129,What specific bad things happen when gedit is used with sudo?,2000.0,2,9,632798, sudo root configuration gedit ownership,6/5/2015
5130,How do I join a Windows Active Directory?,9000.0,2,9,33592, networking windows active-directory,4/5/2011
5131,Wine or virtual machine (VirtualBox) to run apps (eg. Photoshop),8000.0,2,9,36585, wine virtualization photoshop,4/23/2011
5132,How do I install the driver for my Linksys AE1200 Wireless-N USB Adapter?,66000.0,5,8,100090, wireless drivers software-installation ndiswrapper,1/31/2012
5133,lightdm doesn't start,42000.0,1answer,8,455983, lightdm gdm,4/26/2014
5134,Why did my upgrade to 12.04 fail with glibc not found or libc6 or requires kernel 2.6.24 error?,12000.0,4,8,125742, 12.04 server kernel vps openvz,4/27/2012
5135,How to reset evolution settings to defaults?,12000.0,3,8,179340, evolution settings default reset,8/23/2012
5136,16.10 - Ignoring update files,18000.0,1answer,8,837494, upgrade updates update-manager,10/15/2016
5137,How to get Ubuntu to ask for my password at login screen again?,17000.0,4,8,581848, login password login-screen,2/5/2015
5138,Applications not showing in Unity Dash,14000.0,6,7,225519, 12.04 unity-2d,12/4/2012
5139,vmware error after upgrade to ubuntu 16.04,31000.0,1answer,7,762210, upgrade kernel vmware 16.04,4/25/2016
5140,12.04 and NVIDIA card problem with NVIDIA Geforce 7025 [closed],38000.0,4,7,131508, nvidia graphics,5/4/2012
5141,How to create & execute a script file [duplicate],40000.0,1answer,7,471285, command-line scripts,5/23/2014
5142,Using Compiz by default in Unity 2D,4000.0,1answer,7,71369, compiz unity-2d,10/24/2011
5143,What should I do when hard disk failure is imminent?,18000.0,3,7,159368, external-hdd smart,7/4/2012
5144,How do I type an `@` (at sign) symbol?,670000.0,9,7,103220, keyboard keyboard-layout shortcut-keys,2/11/2012
5145,Ubuntu 12.04 in VMware split screen issue after updating,13000.0,5,6,480758, 12.04 vmware-player,6/9/2014
5146,Ubuntu doesn't detect my Bluetooth receiver how to fix it?,14000.0,3,6,321750, bluetooth,7/19/2013
5147,How to make an already live Ubuntu pen-drive a persistent one?,1000.0,4,6,291696, live-usb system-installation persistent,5/6/2013
5148,Nautilus crashes when accessing some folders,12000.0,5,6,64244, 11.10 nautilus gnome directory,10/4/2011
5149,How to install and use Ubuntu from a USB flash drive on Windows 8? [duplicate],34000.0,2,6,239792, installation usb usb-drive uefi windows-8,1/11/2013
5150,RealTek Wireless adapter issues. (RTL8192ce and RTL8192cu),31000.0,3,6,471208, wireless 14.04 rtl8192ce,5/23/2014
5151,Is gpointing-device-settings in Ubuntu 16.04?,11000.0,3,5,783229, apt 16.04,6/5/2016
5152,How to have the Taskbar with Unity at the same time?,11000.0,3,5,77216, unity gnome-panel taskbar,11/8/2011
5153,sudo apt-get update cancelled half way through now cannot run sudo apt-get update [duplicate],2000.0,3,5,774920, apt updates repository,5/19/2016
5154,How can I give a script its own icon in the Unity launcher?,2000.0,3,5,789266, unity scripts launcher icons .desktop,6/20/2016
5155,Issues with Bluetooth Connections in 11.10,17000.0,5,5,68939, 11.10 bluetooth alsa headset,10/18/2011
5156,How to remove uninstalled wine app icons from unity dash?,5000.0,1answer,4,483939, 12.10 wine uninstall unity-dash,6/16/2014
5157,Wifi issue with Ubuntu 17.04 [duplicate],31000.0,3,4,905283,17.04,4/15/2017
5158,Is recovery mode supposed to hang after fsck?,22000.0,3,4,240527, 12.04 boot recovery-mode,1/12/2013
5159,Boot to Runlevel 3,71000.0,6,4,228402, 12.04 runlevel,12/12/2012
5160,"How to switch between Gfx cards on Macbook Pro 15"" 8.2",8000.0,1answer,3,184406, radeon macbook-pro vgaswitcheroo grub-efi,9/5/2012
5161,What is the difference between sudo X and running X as root?,2000.0,2,3,479357, sudo root,6/8/2014
5162,lenovo e540 RTL8723be wifi not working,25000.0,4,2,517772, wireless lenovo realtek,8/29/2014
5163,How to install and configure X11RDP?,29000.0,2,2,190838, x11rdp,9/20/2012
5164,How can I publish my project code online so someone can help me with it?,1000.0,4,27,154129, application-development launchpad,6/21/2012
5165,New ext4 partition and used space,18000.0,3,24,131516, partitioning filesystem ext4,5/4/2012
5166,No such file or directory when invoking java,58000.0,3,21,207552, command-line software-installation java jdk,10/28/2012
5167,In 'apt-cache depends' output what is the meaning of Suggests Recommends | <>?,4000.0,1answer,19,25361, apt documentation info apt-cache manpage,2/9/2011
5168,grep the man page of a command for hyphenated options,2000.0,11,18,464302, command-line manpage,5/11/2014
5169,How do I configure WiFi to log in to WPA at boot time regardless of user being logged in?,30000.0,5,18,1277, networking mythbuntu wireless,8/5/2010
5170,Disable Ubuntu Update Manager's new version warning,20000.0,4,18,115913, upgrade,3/25/2012
